Mode: 18 #Games: 1000 Notes: u1-2Trick-50
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	7_2	7_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
35	31	43	11	24	2	4	0	5	1	3	1	2	2	0	0	1	0	3	0	1	3	4	4	4	0	0	1	0	105
46	25	22	27	13	17	0	0	2	4	3	1	0	1	2	1	3	0	0	1	0	4	4	4	4	0	0	1	0	63
11	41	36	32	4	11	5	10	3	2	3	2	0	2	2	0	0	1	0	3	0	4	4	3	4	0	0	0	1	37
47	19	26	28	2	7	11	10	3	4	1	2	2	0	1	1	2	0	1	1	1	4	4	4	4	0	0	0	1	58
48	38	12	22	21	7	0	2	3	3	2	2	1	2	0	1	3	0	1	0	1	4	3	4	4	1	0	0	0	58
20	32	43	25	0	10	9	11	2	1	4	3	0	0	2	2	1	2	1	0	0	4	4	4	4	0	0	0	1	53
30	20	30	40	0	4	0	26	2	2	1	5	1	1	1	1	1	0	1	2	0	4	4	4	3	0	1	0	0	66
26	27	30	37	13	4	0	13	3	3	0	4	0	1	1	2	1	1	1	1	0	4	4	3	4	1	0	0	0	57
20	53	21	26	4	24	2	0	3	3	3	1	0	2	1	1	1	2	0	1	0	4	4	4	4	0	0	1	0	36
27	25	27	41	4	14	10	2	2	5	2	1	1	2	1	0	0	0	1	3	0	4	3	4	4	1	0	0	0	45
28	26	32	34	0	3	4	23	1	1	1	7	2	0	0	2	0	1	2	1	0	4	4	4	3	0	1	0	0	35
4	46	21	49	0	25	0	5	4	3	1	2	0	2	1	1	0	2	0	2	0	4	4	4	4	0	0	0	1	28
42	11	41	26	13	6	0	11	2	5	1	2	0	0	2	2	3	0	1	0	0	4	3	4	4	1	0	0	0	56
27	34	36	23	3	10	17	0	4	2	3	1	2	1	1	0	0	2	1	1	1	4	4	4	4	0	1	0	0	76
30	27	25	38	3	4	12	11	2	2	4	2	1	1	0	2	1	0	2	1	0	4	4	4	4	0	0	1	0	74
21	25	29	45	13	4	11	2	4	2	3	1	0	1	2	1	1	1	0	2	1	3	4	4	4	0	1	0	0	86
14	19	65	22	7	0	10	13	3	2	2	3	0	0	3	1	0	1	3	0	0	4	4	4	4	0	0	1	0	79
37	21	40	22	0	14	13	3	1	5	3	1	2	0	2	0	1	1	1	1	1	4	3	4	4	1	0	0	0	65
