Mode: 5 (N=200,HP) #Games: 1000
p0_0	p0_1	p0_2	p0_3	p0_4	p0_5	p0_6	p0_7	p0_8	p0_9	p2_0	p2_1	p2_2	p2_3	p2_4	p2_5	p2_6	p2_7	p2_8	p2_9	trump	first	fp	t_t0	t_t1	t_t2	t_t3	t_t4	t_t5	t_t6	t_t7	t_t8	t_t9
38	29	36	15	20	2	16	5	31	23	9	24	3	22	17	34	13	10	14	33	0	2	31	319	209	0	334	229	212	199	0	173	0	
16	32	29	38	28	33	22	3	19	10	11	0	13	27	14	23	12	18	4	35	2	0	48	981	251	0	619	0	300	200	0	178	0	
32	2	33	27	24	8	29	39	22	1	14	34	12	10	37	18	25	4	21	6	1	3	32	842	710	199	0	460	389	194	0	0	0	
26	17	35	6	19	27	25	36	24	21	23	39	7	32	13	15	12	28	8	9	2	1	95	542	404	0	683	565	474	0	0	176	0	
1	30	36	27	17	19	38	7	25	16	2	34	4	11	0	20	18	6	9	32	0	0	84	1102	214	311	198	186	0	203	0	174	0	
25	0	19	33	20	5	34	9	14	30	27	12	1	16	15	31	17	3	22	29	2	1	44	266	0	768	236	226	0	291	191	0	0	
31	24	39	23	28	0	4	27	17	9	26	21	16	2	34	1	14	32	8	29	0	2	96	224	0	710	304	230	301	197	0	174	0	
25	17	38	20	28	32	7	2	36	27	12	9	15	31	33	13	35	37	16	6	2	2	51	326	213	0	0	561	465	367	280	0	0	
31	20	33	14	36	5	38	11	8	15	35	19	2	21	16	12	7	22	6	0	3	3	26	0	207	0	706	614	302	203	181	0	0	
36	21	0	6	22	39	17	12	18	38	8	27	19	34	9	23	29	30	13	10	0	3	77	329	211	0	225	0	0	0	259	169	0	
2	25	35	1	30	13	8	21	31	24	34	4	9	36	38	26	6	20	14	10	1	0	23	888	718	593	530	0	203	0	0	0	0	
1	33	28	19	17	11	12	32	10	27	36	34	4	18	16	3	7	9	14	8	2	0	70	758	0	546	232	311	200	190	177	0	0	
23	39	12	28	0	34	15	18	9	4	2	35	37	26	8	1	11	5	17	21	2	1	44	213	0	793	324	214	0	346	0	169	0	
13	12	14	1	19	30	31	18	21	35	8	0	28	16	26	39	2	23	9	37	0	2	106	0	654	0	515	410	298	202	0	0	0	
13	20	27	18	38	35	17	34	37	30	29	4	19	28	39	33	23	1	11	36	1	1	109	1075	957	813	190	0	464	276	184	0	0	
19	14	31	7	27	16	26	1	39	20	38	36	23	30	13	10	8	15	9	29	2	2	98	326	214	0	230	0	211	361	185	0	0	
12	24	37	39	34	13	23	4	15	1	17	20	9	22	18	3	27	38	7	19	1	3	74	213	0	0	229	0	297	0	0	174	0	
31	17	12	30	14	32	20	18	15	25	9	23	13	22	28	4	24	7	11	21	0	3	28	0	880	856	720	318	0	357	0	174	0	
0	6	16	31	8	3	30	27	20	2	38	25	4	22	28	7	14	10	33	1	2	0	18	874	0	628	0	0	0	287	182	0	0	
8	34	35	19	37	1	29	20	12	15	16	18	25	10	30	27	3	0	39	26	1	0	86	1091	0	839	197	274	177	0	262	175	0	
26	35	27	1	6	31	38	18	3	5	22	33	34	19	28	21	7	9	25	29	2	1	100	205	0	857	327	319	210	0	265	164	0	
27	7	20	17	14	33	34	4	12	3	2	1	36	13	31	8	6	5	19	30	2	1	0	269	0	653	601	497	378	279	183	0	0	
8	26	4	15	18	9	10	20	2	22	39	35	0	16	19	5	23	25	3	27	1	2	63	431	311	246	742	599	0	0	275	178	0	
32	14	24	36	23	5	10	38	4	28	3	27	8	13	6	33	0	11	12	16	0	2	26	329	222	253	231	0	371	278	182	0	0	
17	13	7	15	9	22	19	28	3	35	27	2	30	23	25	5	10	31	33	4	2	3	44	445	322	245	0	599	480	194	0	164	0	
0	33	2	27	37	28	9	21	6	11	7	31	19	30	16	20	15	39	26	10	0	3	60	427	212	0	697	594	200	0	258	168	0	
38	3	31	36	27	6	19	11	22	15	20	34	9	16	0	33	8	18	12	29	0	0	66	1116	0	206	0	536	204	0	260	166	0	
39	34	20	28	3	19	22	13	8	12	31	26	24	7	27	36	37	5	23	18	3	0	53	992	0	314	193	224	0	283	0	0	0	
26	38	3	5	10	36	19	18	34	14	23	7	1	6	20	24	37	25	11	4	2	1	60	320	215	399	295	0	477	0	268	0	0	
26	4	0	33	34	17	16	11	21	14	12	38	5	3	6	35	13	29	8	10	2	1	11	203	469	343	233	219	0	0	0	166	0	
5	3	35	24	39	28	16	31	12	38	6	1	13	9	36	22	29	37	8	0	3	2	64	223	0	861	324	592	482	0	191	0	0	
38	23	1	4	29	19	26	21	18	17	15	20	13	8	34	7	6	16	25	33	2	2	89	0	964	302	194	0	485	0	263	172	0	
