Mode: 4 #Games: 1000
p_0	p_1	p_2	p_3	pt_0	pt_1	pt_2	pt_3	t_0	t_1	t_2	t_3	A_0	A_1	A_2	A_3	S_0	S_1	S_2	S_3	At_02	suits_0	suits_1	suits_2	suit_3	first_0	first_1	first_2	first_3	fp_02
28	34	28	30	0	13	6	11	2	4	2	2	1	1	1	1	1	2	0	1	0	4	3	4	4	1	0	0	0	43
29	39	40	12	2	28	0	0	4	4	1	1	1	2	1	0	1	1	2	0	0	4	4	4	4	0	1	0	0	48
20	30	22	48	6	3	11	10	2	2	4	2	0	0	2	2	0	2	0	2	1	3	4	4	4	1	0	0	0	62
41	23	22	34	16	0	3	11	5	0	1	4	1	1	0	2	2	1	1	0	0	4	3	4	3	0	1	0	0	46
22	16	29	53	4	3	0	23	4	3	0	3	1	1	0	2	0	0	2	2	0	4	4	3	3	0	1	0	0	19
32	42	9	37	14	14	0	2	2	3	1	4	1	2	0	1	1	1	0	2	0	4	4	4	4	0	1	0	0	31
33	15	43	29	11	4	13	2	2	3	2	3	1	1	1	1	1	0	2	1	1	4	4	4	3	0	1	0	0	50
42	25	26	27	14	5	0	11	4	2	1	3	1	0	2	1	2	1	0	1	0	3	4	4	4	0	0	1	0	72
33	20	28	39	0	13	14	3	2	3	3	2	1	1	0	2	1	0	2	1	0	4	4	4	4	0	0	1	0	36
37	23	26	34	0	10	5	15	1	1	5	3	2	0	1	1	1	1	1	1	0	4	4	3	4	0	0	1	0	73
41	8	28	43	7	0	11	12	3	2	2	3	1	0	2	1	1	0	0	3	1	4	3	4	4	0	0	1	0	83
